Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
China,CHN,1950,544044354
China,CHN,1951,553758251
China,CHN,1952,565131436
China,CHN,1953,577557142
China,CHN,1954,590113861
China,CHN,1955,603547012
China,CHN,1956,616558585
China,CHN,1957,630356210
China,CHN,1958,644219484
China,CHN,1959,652708210
China,CHN,1960,654802066
China,CHN,1961,655773482
China,CHN,1962,665073692
China,CHN,1963,684552645
China,CHN,1964,704798265
China,CHN,1965,723415737
China,CHN,1966,742402209
China,CHN,1967,761026025
China,CHN,1968,781011031
China,CHN,1969,802140343
China,CHN,1970,823308968
China,CHN,1971,844069870
China,CHN,1972,863677811
China,CHN,1973,882576941
China,CHN,1974,900307583
China,CHN,1975,916116795
China,CHN,1976,930372293
China,CHN,1977,943546379
China,CHN,1978,956161484
China,CHN,1979,969288069
China,CHN,1980,983163545
China,CHN,1981,997721068
China,CHN,1982,1013588169
China,CHN,1983,1029064952
China,CHN,1984,1043849645
China,CHN,1985,1059807821
China,CHN,1986,1077233612
China,CHN,1987,1096217446
China,CHN,1988,1115244161
China,CHN,1989,1133991005
China,CHN,1990,1153582718
China,CHN,1991,1170788527
China,CHN,1992,1184574240
China,CHN,1993,1197308569
China,CHN,1994,1209003100
China,CHN,1995,1220133927
China,CHN,1996,1230944812
China,CHN,1997,1241139619
China,CHN,1998,1250847121
China,CHN,1999,1260176650
China,CHN,2000,1269581164
China,CHN,2001,1278725057
China,CHN,2002,1286866839
China,CHN,2003,1294517315
China,CHN,2004,1302100319
China,CHN,2005,1310027138
China,CHN,2006,1318054037
China,CHN,2007,1325813580
China,CHN,2008,1333821009
China,CHN,2009,1342522709
China,CHN,2010,1351561511
China,CHN,2011,1360250657
China,CHN,2012,1369520865
China,CHN,2013,1379008046
China,CHN,2014,1387951973
China,CHN,2015,1396134164
China,CHN,2016,1404052626
China,CHN,2017,1412354742
China,CHN,2018,1419008963
China,CHN,2019,1423520354
China,CHN,2020,1426106083
China,CHN,2021,1426437276
China,CHN,2022,1425179562
China,CHN,2023,1422584937
